,Unnamed: 0,ID,Solution Set: Distributed Novice,Unnamed: 3,clusters
725,,33334057,"I would like to have a subterranean network of moving roller coaster type tracks that move people to any location in the city easily, and deliver them right to the door step of where they need to go. This could be done by having exit points from the underground network of tracks that bring you to specific address clusters.",,7
603,,33333933,"I live in a small village.  Everything is close together, so it might be possible to have a bicycle share program.  Bicycles could be borrowed and then returned to the same place or a different place.  This would allow people to get around without using cars.",,7
606,,33333936,I live in a town right on the ocean and there are many canals here. I think a canoe taxi service would be really convenient and fun. It wouldn't get people to their desired locations super fast but it would allow people to travel leisurely and enjoy the scenery along the way. It would also be really healthy for the people driving the canoes and help them to stay fit.,,7
1196,,33334729,The last new type of teleportation that I can think of would be tubes that connected to certain places and people could get in them to be pushed through to the other end of the tube to another area. They would be large and everywhere so it would only take up space in the air and there would be lots of places to go to.,,7
721,,33334052,I would like it if the area I lived in used a bike sharing system like I have seen in some other major cities like Portland and Minneapolis.,,8
987,,33334314,"My neighborhood will continue to use mainly personal vehicles as a mode of transportation, though the downtown area is working on an underground rail system.",,8
195,,33333532,A ship that takes you around town within minutes and costs less than other methods of transportation.,,8
1180,,33334497,the best transportation where i live is a personal car. it is the fastest and most convenient for the type of city i live in.,,8
248,,33333584,"A trolley system would be a great source of transportation, using small trolleys instead of buses.  Another Idea would be a mini bus system that primarily transported people to key areas like the train station or the airport.  A shuttle system.",,8
164,,33333501,A public bus system of buses the size of vans. It has an app that shows all the stops.,,8
97,,33333434,"A light rail from city center to neighboring suburbs that would replace thousands of commuters and make rush hours less crowded and stressful. This could be as simple as one station in each suburb (thus 10-15 total stations), or a more complex system with multiple stations in each suburb.",,8
1194,,33334509,The idea is that free long term parking is offered at multiple nodes throughout the outskirts of the city. Within the city there are three primary modes of transport: public bicycles (if needed) for short distances between bus stops for medium distances and at key points throughout the city train stations for the longest stretches for cross city travel.,,8
1378,,33334694,"What we need is a better public transportation system that services the East end of the city.  Perhaps a bullet shuttle that will pick up in certain areas of the East End, and shuttle t predetermined locations within the city such as the downtown area, in addition to other areas.",,8
77,,33333411,A high speed monorail system that winds its way through all the important points of interest in the city. It would look futuristic and high tech with a sophisticated level of design along with being reliable.,,8
542,,33334716,Hyperloop install in the city with individual cars that will rapidly take to any point in the city within seconds.,,8
1312,,33334628,Underground walkways at traffic intersections. This would eliminate the need for crosswalks and improve the flow of traffic.,,8
1320,,33334636,use self-driving cars to get to different parts of the city,,8
175,,33333512,a railway system that goes over parts of the city and is solar powered so its more efficient.,,8
56,,33333387,"a fan that goes on top of your outdoor HVAC unit. The exhaust from the HVAC turns the fan, which then generates electricity.",,8
749,,33334084,I would like to see my city connected via a light rail system which would greatly reduce traffic and emissions.  I envision the majority of neighborhoods in the Downtown core being connected.,,8
807,,33334140,"In my neighborhood, I would like to see some sort of updated streetcar system with solar panels on the top of the street cats,, some sort of energy capture technology on the tracks.",,8
300,,33333632,An automated monorail like system that goes through the entire community at a regular interval day and night.,,8
1188,,33334505,The future of transportation in my city is by having self-automated driverless cars. They would reduce the amount of traffic congestion and reduce the number of car accidents.,,8
467,,33333804,"From small towns to big cities, public transportation is helping to generate new vitality like never

before. Beautiful, walkable town squares combine residential, retail, office, recreation and public

transportation features to make community living easy. New bus services and light rail extensions

improve mobility and ease congestion. Even the smallest adjustments, like widening sidewalks and

adding bikeways, can provide dramatic impact and value.",,8
591,,33333921,I imagine people using hoverboards and personal flying vehicles for transportation in the future. Personal helicopters specifically and hoverboards similar to the ones in back to the future.,,8
1151,,33334775,Some type of underground or above-ground monorail system to help with the massive traffic problem in my area. With stations in key locations that are unobtrusive to the overall community.,,8
1185,,33334502,"The current highway infa structure in this country is outdated and in disrepair. We should reinvest in our bridges and highways and retrofit them with sensors to aid in the development of autonomous vehicles. Thus reducing gridlock, emissions, accidents, and travel times.",,8
1202,,33334516,"The new transportation is a light rail that also includes trolley service for my neighborhood and city. For $1.00 each way, the light rail runs from east to west and from north to south. In addition, the light rail runs until midnight Monday through Friday and 24 hours a day on weekends. The light rail takes you to all major events in the city and portion of all fares go to pay for school resources in the community.",,8
527,,33333860,Hoverboard.  The use of the hoverboards to get around.,,8
870,,33334202,"Juvenile delinquets could drive the elderly around for 1-2 hrs a day, and that could be a part of their community service.",,8
501,,33333838,Having a neighborhood run community bus system. It would be exclusively a bus for people in the neighborhood to travel short distances.,,8
822,,33334155,Inexpensive choppers so everyone can fly.,,9
259,,33333594,A van with movies while you ride to your destination.,,9
370,,33333706,boat if you live on an island,,9
1078,,33334737,riding on horses would be cool,,9
251,,33333587,a trolley would be pretty cool i would take that,,9
518,,33333854,hot and ready to eat homemade cookie delivery,,9
1098,,33334754,Seasonal Idea - You get picked up by a SLEIGH looking car (Christmas Season) or a Chinese 2 wheeler (spring/summer). Other ideas related to seasons as well - Valentines Day/St Patty Day/Independence Day Themed etc,,9
1335,,33334652,Walk!  Get all together and walk wherever you need to go.,,9
1111,,33334433,self driving pod cars you can hail easily,,9
379,,33333714,Buses that go everywhere.,,9
958,,33334284,My idea is : Have you worked int he food industry?,,9
218,,33333552,A subway system where you sit in a seat that attaches to a rail as soon as you are seated. You are then transported to your destination. This removes the need to wait for trains like a regular subway.,,10
36,,33333369,"A chair lift system to get from point a to point b, with multiple stops along the way if you need it.",,10
647,,33333977,I think because my city isn't THAT big a place that takes us to all the the important parts is vital. You would think a bus would do that but not the ones in my city. It's just small stops.,,10
516,,33333851,horse drawn carriage I think it would be cool to do this again in our main downtown area where are the restaurants are. Would be nice.,,10
2,,33333333,A automated truck that delivers groceries and people when bad weather happens and trees are down on the road. Its a big truck that can get through everything,,10
1245,,33334556,There was an idea to get a high speed rail in my town. It never happened but it would have been cool. It would have taken half an hour to get to a town 2 hours way. It would have been innovative! But the government shut down the idea. For what reason? Who knows.,,10
658,,33333988,I think my neighborhood could benefit from ride-sharing bikes. We live in a suburb of Boston but technically a City. Not the easiest to get around and a lot to do.,,10
1023,,33334349,"People should ride horses around the city.  They can either ride the horse itself or go in a carriage ride attached to it.  I think there is a certain charm in riding a horse or travelling by carriage.  It would be a throwback to vintage type days when people rode in stagecoaches. I think it could revitalize a city and make old-fashioned things trendy again.  Horses/carriages could move people around from popular destinations in the city to other popular destinations.  Kids would love it!  ""Mom, let's take the horse today!""",,10
1265,,33334575,"This is about car pooling. As our residences are located far away from our work place, we, in our neighborhood have passed a resolution that to share our sitting in our cars (each a day in a week) to reduce pollution, save money, etc. and it works good too. :-)",,10
604,,33333934,"I live in a snowy climate, so there are a lot of times that we can't drive our cars anywhere because of all the snow. So a snowmobile taxi might work.",,10
53,,33333384,A drone system where small helicopters would come down and pick up people. It would work like a bus in that it takes people to drone stops.,,10
1236,,33334547,There should be a place to rent bicycles for a nominal fee for a day like they do in the big cities. You can rent a bicycle and return it to any place that also rents the same bicycles. You could also rent scooters to be able to do small errands around town.,,10
759,,33334094,"I would love to see an Uber type of program but for doctor appointments. Where the doctor's office has drivers who are willing to pick up patients and drop them back off at home. Maybe like 1 person driving in a city and just bringing the patients to the doctor so that people won't have to drive to the doctor, especially older people.",,10
808,,33334141,"In my neighborhood, there's not a lot of space, so I'd have to go with covered bikes of some sort, or one of those neat bike trollys. That would be a neat way to get around and exercise.",,10
968,,33334295,"My idea is re-creating the Trolly car, they would go through neighborhoods and people can hop on and off as it slowly moves.",,10
1103,,33334752,segways at same rental price as bus fare.  I have a broken toe and bad knee and it is hard sometimes to walk all the way to bus stops if they are far.,,10
1184,,33334500,"The city has recently built a set of rollerblade kiosks that allow people to rent skates in their size.  By putting in their cash or credit card, they can rent them to go visit other locations and get a small refund when they return them to another kiosk.",,10
1067,,33334392,"Rent a cycle, a set of motorcycles that you can pay for per hour to take and go to the store or rent for the day for work on warm days. they'd have a wheel lock like the citi bikes in New york so you put your card in and go",,10
893,,33334222,"Many people in my town already ride bicycles to and from work or to run errands, and quite frankly I wish more of them would.  I live on a peninsula, so everyone is always competing for parking anyway.  I think bicycles are ideal for commuting in a smallish town like mine.",,10
350,,33333682,Autonomous vehicles owned by the city.  Any individual (or at least city residents) can call or press a button for one at any time and the closest available vehicle will come pick you up and take you where you want to go.,,10
848,,33334181,It would be effective to create a bike club in my neighborhood.  We would choose at least 1 day a week to ride our bikes to work decreasing neighborhood traffic and air pollution.  This bike club would host meetings once a month and reward people who rode the most days to work that month incentivizing people to ride more often.,,10
1397,,33334713,There should be a place to rent bicycles for a nominal fee for a day like they do in the big cities. You can rent a bicycle and return it to any place that also rents the same bicycles. You could also rent scooters to be able to do small errands around town.,,10
1100,,33334748,Segway automated rentals. Like the bike racks in large public cities. You put down a deposit with a credit card and when you return it you get most of the deposit back.,,10
229,,33333562,A system of mopeds that you leave at different stations and ride around on only paying to rent them,,10
605,,33333935,"i live in a somewhat smaller town in rural virginia. everything is super accessible and easy to get to. our town is gold cart friendly. my idea would be a cab service, but with golf carts. it would be a super fun way to help people get from point A to point B. it would also encourage safer driving.",,10
1088,,33334413,roads with different speed limits so people that want to drive faster can go on one and people driving slower on the other,,10
102,,33333439,A map that has the location of buses currently running so that you can see how long it takes for your bus to reach you while waiting for the bus.,,10
528,,33334792,"Hoverboard/Segway share: have stations located around the neighborhood where a hoverboard or a segway can be left to charge and then someone else can use it, leaving it at another station for someone else to use.",,10
772,,33334109,"I'd like to see a subway that has assigned seating.  It'd be nice that you could preorder a seat on the subway for a nominal fee - that seat is yours 100% of the time.   You never have to worry about it being taken.  Other than that, it remains completely the same..just reserved seats.",,10
95,,33333432,A larger bike path so that more people could ride their bikes places. Also every few miles they could have a bench for people to rest with a water fountain.,,10
908,,33334757,"maybe to save money, for rides throughout the neighborhood, it could just be a horse and carriage. someone could donate a few horses, and a few carriages, and everything would be for free",,10
29,,33333361,A car pool van that does loops around our town picking up kids and dropping them off at various activities. There can be an app that works to hail the van and parents can track where its going,,10
861,,33334192,"It would be this, maybe people who are in prison (for misdemeanors) could get some sunlight in the da, and drive around people in the neighorhood who need rides!",,10
576,,33333907,I imagine a hot air balloon attached to cables that direct it at a low altitude to various stops. people get can out on platforms that they bring you to the ground with elevators.,,10
1112,,33334434,Self driving rental trucks.  They come to you instead of having to drive it all the way across town to where you live. You load  then unload your stuff then it drives itself back to the rental place.,,10
659,,33333989,I think my neighborhood would benefit from one of those pedal bike bars for the downtown area. There is a lot of history and what better way to enjoy it than while sipping a nice drink and getting some exercise,,10
1380,,33334696,"When I traveled Asia they had trucks with benches in the back, they went around the same routes all and quickly picked up and dropped off people, similar to a bus but quicker and easier",,10
1140,,33334460,Smarter stop lights that are better at managing traffic congestion,,11
1381,,33334697,a bus that plays all 80s music all the time,,11
420,,33333756,De-centralize suppliers so everything is within walking distance of everyone.,,11
1232,,33334543,There is no subway system here,,11
40,,33333371,A city bus that has entertainment in it like movies and music,,11
941,,33334778,Moving sidewalks that are similar to conveyer belts,,11
1223,,33334536,there are no trains in my city,,11
371,,33333707,build a so many sub way trains,,11
1171,,33334490,Taxis that drive themselves,,11
3,,33333334,A bicycle helmet with speakers and Bluetooth connectivity for your phone.,,12
1096,,33334421,Scooter would be great transportation for college kids and busy cities.,,12
33,,33333366,A cargo bike rental that came with discounts at supermarkets and hardware stores.,,12
1387,,33334703,Combining food delivery services with taxi driving to maximize efficiency.,,12
341,,33333674,Automated driverless cars networked to navigate together and accept passengers via mobile applications,,12
448,,33333785,Encourage biking by providing dedicated bike lanes that are safe from vehicular traffic.,,12
186,,33333521,A self driving lawn mower.  Use the technology for self driving cars to create a self driving lawn mower.,,12
889,,33334219,make more busses available with more bicycle carrying capacity,,12
385,,33333719,Carpooling platform online that matches drivers and commuters.,,12
1059,,33334385,Railway/ Trains/ Subways is very poor people useful transport,,12
536,,33334769,Human sized drones. Highspeed rail like Japan has.Self driveable cars with an uber type interface. (cab drivers r terrible people),,12
372,,33333708,build so many subways for two wheeler travelling,,12
1032,,33334358,Personal shopping service for seniors.  No cost to them.,,12
42,,33333373,A community carpool.,,13
11,,33333342,A bicycle-only highway.,,13
1090,,33334415,Safer bike lanes,,14
360,,33333694,bicycle rickshaw,,14
1072,,33334398,Rentable/borrowable bicycles kiosks,,14
828,,33334161,"invent solar bikes, cars,etc.,",,14
365,,33333699,Bike rickshaw,,14
364,,33333700,bike rickshaw,,14
1278,,33334588,To reduce gridlock and rush hour traffic governments should offer tax incentives for employers offering a staggered work day. I.e. Employees scheduled to be gin work at different times rather than the 7-10 o'clock  morning hour.,,15
185,,33333520,A segway that is programmed for certain routes.,,15
451,,33333788,Environment friendly transportation can be used to avoid global warming . So i prefer Electric trains and electric based vehicles .,,15
1131,,33334452,"Six different modes of powered vehicles; some motorized, some human powered. Some are single person transports, others are large, mass transit.",,15
1393,,33334708,"ROAD TRANSPORT - BICYCLE (GOOD EXERCISE FOR OUR WHOLE BODY, LOW COST AND NO POLLUTION.",,15
49,,33333380,A crowdfunding site that tries to solve mini societal problems. It's like a non-government organization but this tries to solve mini problems such as buying a net for a local basketball court or a reforestation project.,,15
1051,,33334377,PUBLIC TRANSPORT. BECAUSE IT PREVENTS MORE FUEL CONSUMPTION OF THE MOST VECHICLES. IT HELPS OUR ECONOMY,,15
397,,33333731,Charging station for electric cars that also has lots of electronic device chargeers.,,15
524,,33333857,Hover-cars. Would operate without tire to road friction. Would need to be computer controlled. Could take advantage of current infrastructure for route guidance.,,15
1083,,33334409,Road transport is highly flexible. The route can be changed anytime and personalized service.,,15
1080,,33334406,"ROAD TRANSPORT - BICYCLE (GOOD EXERCISE FOR OUR WHOLE BODY, LOW COST AND NO POLLUTION.

http://postimg.org/image/kihkw2291/",,15
1065,,33334390,remove all non commercial traffic.  have extensive light rail connected to robust subway system.  have storage containers deliver large goods.,,15
331,,33334788,Any type of hoover mode of transportation allowing driver to avoid accidents and hoover past slow moving traffic.,,15
1307,,33334620,Uberbus. Uber hiring for large amounts of people to be transported.,,15
1017,,33334764,"Pedestrians and cyclists  will develop sensing, intent recognition, and vehicle control  itsâ€™ knowledge, skills and experience to the Safe  vulnerable road users",,15
482,,33333819,"Gyroscopic personal vehicles. These devices would generate a magnetic field in opposition with the earth's magnetic field, creating levitation and allowing for free and easy transportation.",,15
257,,33333592,A type of uber service that transports more than a car of people.,,15
282,,33333616,"Alternative energy powered vehicles. Using electricity, sunlight, and other renewable sources can be beneficial to society. Imagine if every car, motorcycle, bus, stopped using gas.",,15
1296,,33334609,Uber bus.,,16
1117,,33334439,Self-driving Uber cabs.,,16
1101,,33334424,Segway rental,,16
1079,,33334405,Rikshaw taxi service,,16
1018,,33334344,Pedicabs with dedicated lanes.,,16
1162,,33334481,subway,,16
425,,33333761,Driverless cars that talk to each other.,,17
177,,33333514,"A real trolley/tram system, not a bus that they call a trolley. Rails. Automated, pre-programmed directions. Various sensors to determine speed/safety restrictions.",,17
183,,33333518,"A scooter that can function as a hoverboard!

Think about the possibilities.",,17
21,,33333351,a bus system that lets you rack up points for rewards,,17
196,,33334770,a shuttle system that goes to more frequent stops,,17
865,,33334196,"It's a local version of Uber or Lyft, where you can download an app to get rides near you.",,17
984,,33334311,My neighborhood has no transportation system. So a simple bus would help.,,17
665,,33333995,I think that community cars that attribute to car pooling would be wonderful.,,17
579,,33334794,I imagine a magnetic public hovercraft system that goes to individual homes on a grid.,,17
684,,33334017,I think we should have more and cheaper car sharing.  And use electric cars.,,17
156,,33333493,"A personal transport vehicle, perhaps shaped like a scooter or segway, that collapses and folds into a backpack with straps that retract.",,17
1166,,33334485,"Surfboard skooter, has a handle but more room for passengers or belongings",,17
378,,33333713,"buses should be branded by route, and have brightly colored easy to identify signs",,17
348,,33333679,Autonomous cars that you can order rides from through an app similar to Uber.,,17
567,,33333897,"I feel like there could be a uber shuttle, sort of like a train system.",,17
447,,33333784,"Elon Musk's Hyperloop, Hi speed trains traveling in tubes above the city.",,18
1094,,33334419,Scooter rental stations. Rent one for a period of time and return at next station.,,18
930,,33334258,Motorcycle/ Scooter IS VERY USEING IN THE CITY,,18
10,,33333341,A bicycle with spheres instead of wheels,,18
305,,33333640,An elevated train that ran throughout the city.,,18
73,,33333406,A golf cart-like train that circles the small town I live in on a regular basis.,,18
78,,33333412,A high speed train/subway that links all the cities in the Detroit metro area.,,18
1327,,33334643,Using horses on the streets.,,18
732,,33334065,I would like to see a high speed train connect all the major cities in my state as well as the major cities bordering our state.  I envision this high speed train to have minimal stations.  This would eliminate the need for air travel and long road trips.,,19
612,,33333943,I live in las vegas and I think that the tram should go from the airport to the strip and all the way down to fremont street.,,19
608,,33333938,"I live in a very hilly neighborhood. I suggest a funicular! A funicular is a railway built on a steep hill with tram cars for transport. Put it on one of the hills in the center of the neighborhood. People would be only a short walk (less than 10 minutes), hop on the funicular and it could take them to the church, the school and the neighborhood business district. Bam. No more worrying about going up and down the crazy hills, especially in the winter. Booyah!",,19
353,,33333685,"AutoTram - The network of AutoTram tracks criss-cross major streets and also cut across the city in subterranean tunnels. Instead of larger vehicles that carry many people, but have rigid, pre-defined routes, the AutoTram is reserved through the internet, and will pick up and drop off several small groups of passengers who have stops along an arithmetically chosen route.",,19
601,,33333931,"I live in a small desert city with a major traffic congestion issue. However, despite the grid layout of the town, there is a diagonal irrigation canal running from the northwest corner to the southeast corner. Currently it has some poorly maintained walking paths, but that's about the extent of its development. Now, in the desert, loss of irrigation water to evaporation under the glaring sun is an issue. I'd propose creating a covered walkway/bike path where solar panels provide protection to the water, as well as pedestrians and cyclists. We could even use that solar energy to create small electric scooter rental/charging booths. It would provide a shortcut - a green highway from one end of town to the other.",,19
599,,33333929,"I live in a rural area, it's pretty hilly but it runs along the length of a valley. It would be really nice to have a walking/bike path that connects the residential neighborhood to the commercial district without having the bike/walk on the road. Although it's generally slow traffic, walking on the road is never exactly safe. Especially in the winter. To be able to network together the few towns in the valley too would be very nice.",,19
1367,,33334683,We ought to revisit the trolley system because the buses in New York City are plagued by heavy traffic. We should have electric trolleys on main thoroughfares. It worked in the old days. Sometimes old ideas mixed with new technology is GENIUS!,,19
595,,33333925,"I live in a neighborhood near an excellent metro system, but not walkable to it. I would like a people-mover sort of system that travels through the neighborhood making the existing metro station more accessible. Perhaps small cars or pods at the end of each street that travel along an elevated rail directly to the metro station.",,19
1225,,33334538,There are two different modes of transportation within my city. The first one is a car. They usually have four doors on the left and right sides of them that open outwardly. There are four wheels and windows towards the top of the vehicle for viewing. The steering gear is located in the front seat on the left hand side and is controlled by the driver.,,19
1200,,33334514,The neighborhood needs a rail system that runs adjacent to the highway. This would go from major city to major city with the same stops as for those that drive.,,19
614,,33333945,I live in the suburbs so all the rail lines converge on the central city. It would be nice if there was a light rail system that linked the different major suburbs together. You could connect it to the lines going to the city and across the country.,,19
116,,33333454,"A mutli-layed monorail system that is solar and wind powered. I leave in las vegas, which has a centralized population. It would go up and down the strip and between the strip and downtown and around the city.",,19
434,,33333770,"Due to the amount of traffic around Tampa and surrounding towns, there is much congestion during rush hours. To help alleviate some of this, I suggest uni-directional bridge to be built that reduce traffic during rush hours. In the morning, the bridge would allow traffic going west towards the base. In the evening, traffic would flow to the east.",,19
414,,33333750,Create an underground rail system that allows people to travel to all major hubs of the city. This would save gas and ease pollution.,,19
1228,,33334779,"There could be some kind of light rail system for the people.  It would make stops at malls, universities, grocery stores, and various event centers.",,19
548,,33333878,"I am from Cincinnati, and one new mode of transportation that would be great here is a subway system. Tunnels already exist from a failed project decades ago, but with the growth the city has seen, it could be a viable option.",,19
51,,33333382,A disaster movie about a blimp that gets a slow leak.  Most of the movie will take place in the cockpit.  It will be conversational based between the pilots and air traffic control.,,19
1056,,33334382,"Publicly available bicycles could be stationed at different regions of the town: different parts of the University campus, the downtown square, the region of stores and malls for shopping. This would allow students to be able to rent and use a bike to get around without having to own one and worry about its safety.",,19
1058,,33334384,"Railway tunnels off of the highways (outdoor subways) to provide a fast paced mode of transportation on busy streets that work with a system like uber that will have drivers readily available at each location. More for suburban areas, not large city areas that have subway/rail systems.",,19
979,,33334306,"My neighborhood added an above ground train similar to the ""L"" in Chicago.  It runs along the highways bringing people downtown from the suburbs.  It does a few loops downtown and runs near the major companies to get people to work.  It is much cheaper and more convenient than driving downtown and parking.",,19
500,,33333837,"Have the streets be less wide, in order to have small row gardens on the sides on the sidewalks. This interactive, edible walkway would promote and provide sidewalk snacks and usability. Easy fresh pick veggetables and fruits, less flooding and more city beauty!",,19
773,,33334110,"I'd like to see shuttle trams in my area. It's a small section based urban area that has about four different areas all residents will have to visit at some point in time. If we had a shuttle system that specifically transported people from a central point to the four primary destinations it would incredibly reduce the use of fossil fuels, traffic, and accidents in the area.",,19
618,,33333948,"I lived in Japan and really enjoyed their system of underground rail. I think most cities in the United States could benefit from such a system, which has the added benefit of cutting down on DUIs. There is no rail system in my town.",,19
1152,,33334471,"Something above the streets, an elevated form of public transportation, would be cool. That way it would be out of the traffic.",,19
793,,33334129,Im from Seattle and it is mostly built over the top of the old city that burned down. I would think that they'd be able to build subways here at least through the downtown area where they have underground tours of the city.,,19
657,,33333987,I think my neighborhood and the surrounding city could use some sort of collection of energy efficient trams that can network passengers along the old railways that are no longer in use.,,19
304,,33333637,"An electric monorail with a few cars that travel between the shopping center about a mile a way from us through the little downtown and stopping at the regional rail station a mile the other direction from us. It would have 2 or 3 trains that run back and forth all day and night transporting people between those two major zones in our neighborhood, eliminating the need for cars to travel nearby.",,19
803,,33334137,In my neighborhood I think the best type of transportation system would be an elevated railway like a tram at disney world it would make commuting between neighboring cities far easier and the technology would make commutes more timely.,,19
1318,,33334634,Use of a sky tram.  It runs over the roads so that it doesn't increase traffic.,,19
642,,33333973,I think a trolley system would work really well here. I live in Fort Collins and the city is very centralized but the traffic is terrible - perfect for a trolley!,,19
1169,,33334488,"Tampa, FL is one of the largest metro areas in the country without any sort of rail system, and traffic is bad. I would love to see a commuter rail system in our town, with a downtown hub and then lines extending north to the Wesley Chapel/Lutz area, out to Brandon, and then another line out to the Westshore/Airport area.",,19
242,,33333578,A tram in each Mohalla (Locality) that goes to a central place called Zero point and from there a common bus takes all the passengers that arrives in trams to the market.,,19
1260,,33334570,This idea uses the sky!  A station or helipad is set up and an aircraft is used that utilizes wing and rotors. Basically a cheaper and a bit smaller helicopter.  This is ideal in my opinion as it is a vertical takeoff which takes far less space than a runway.,,19
244,,33333580,"A tram. We don't really have trams in the Ohio. It's kind of like a smaller version of a train, but very quiet and low energy. It runs on tracks and electricity.",,19
112,,33333450,A moving sidewalk outside main street.,,20
939,,33334265,Moving Sidewalks,,20
938,,33334266,Moving sidewalks,,20
285,,33333618,An affordable device that tracks chemicals in your home aquarium,,21
415,,33333751,Create portable solar panels that can be used anywhere,,21
463,,33333800,For the future we introduce solar bikes.,,21
157,,33333494,A phone that can also be used as a credit card.,,21
969,,33334296,My idea is roller skate rentals in public parks to promote physical activity in kids.,,21
590,,33334747,"I imagine hover bikes in the future, powered by solar energy.",,21
294,,33333626,An app that brings together cyclist for equipment and tool sharing.,,21
1321,,33334637,use the Motorcycle do not any trafic,,21
637,,33333968,"I think a method that would improve the transportation system would be to change how turn lanes are handled in America. Overseas, to turn left, you veer off to a lane on the right that comes to a stop so that you don't block traffic waiting to turn and then when it is clear, you drive across the street onto the road you were going to turn onto.",,22
1215,,33334528,"The transportation system would be like the sidewalks that move in the airport, you would just stand on the sidewalk and it would move you where you need to go.",,22
1252,,33334562,There would be skateboard like devices that run on tracks that are embedded into the roads of the city. People could use a phone app to schedule for one of the boards to pick them up. The device would show up int he street outside of your house or wherever you currently are. You would hop on and you would put the address into the app of where you wanted to go.,,22
1259,,33334568,This idea relies on a series of jitneys.  Jitneys going back and forth to pick up a few people along the way and also dropping people off.  No need for any tracks as they could use already existing roadways.,,22
661,,33333991,"I think that a cool new transportation system would be a bike that we all pedal. It would be a long bike, maybe 5-8 seats long on each side. It would start with one rider who will then ride to other people's houses to pick others up. They would get on the bike and start peddling to pick the next person up.",,22
546,,33333876,I always thought they should incorporate moving sidewalks into the city. Just like the airport. This would allow people to scoot around faster without putting more people on the road.,,22
675,,33334007,I think there should be bikes that you can easily rent. You can get them in the major shopping areas and drive them around town to get excercise as well as helping to use less gasoline.,,22
585,,33333916,I imagine a transportation system in which we all use underground super chutes. They move us from place to place within our town super fast. It would have to be set up so everything is safe of course. I imagine a network of these chutes spreading throughout the city and they pop you up wherever you want to go. Wouldn't that be amazing?,,22
589,,33333920,"I imagine an electric trolley like those old school ones, but it would be a hybrid system instead and people could hang off the back and ride it. There would be electronic pass cards that everyone could swipe on and off and it would be subsidized so anyone could use it for super cheap.",,22
433,,33333769,"Drones.  They are on the cutting edge of technology.  Amazon is going to implement them.  I think sending drones to go pick up your dry cleaning or your groceries would be very attractive to a great number of people.  It will be the future of transportation of goods.  You can pilot your own drone, or you can have a drone for each store.  You rent one from the dry cleaners, the grocery store, etc.  They are pre-programmed to travel their flight path and the people at the store load 'em up and send them back home to you.  This is perfect especially in cold weather or snowy areas.",,22
1221,,33334534,"There are many back roads and residential routes around my neighborhood, so speed isn't as much of an issue to keep pace with traffic. I'd imagine a fleet of scooters that could be rented cheaply and easily could help residents get around town without much issue.",,22
646,,33334777,"I think automated cars that work like taxis would be great.  They would have short range ones and long ranges ones.  Also, larger ones that go on busy commute routes each day to and from work.  With them being automated everything would be faster and run more efficiently.",,22
688,,33334020,I visualize a car ride sharing phone application in which people put in the destination that they want to go to and they can connect with people going that same direction for a ride.,,22
640,,33333971,"I think a private school bus would be a great idea. Maybe it could be the size of a SUV and fit maybe 4 to 6 kids in it comfortable. Some kids are not able to take a bus to school so parents have to take public transportation every morning to drop them off. It could be like a Uber school bus sort of, each SUV bus will have certain school on their route that they can drop kids off at.",,22
1238,,33334549,There should be a system where you can call for the bus to pick you up instead of it stopping at certain stops. It would go to the certain stops also but also pick you up if it has extra space in the time it has so it can save the Earth with carpooling.,,22
695,,33334026,"I was thinking of underground tunnels that you could access from certain points -- not for a subway. Instead, you get in the tunnels and you have the option to take various tunnels to certain destinations using your preferred mode of transportation: razor scooter, roller-blades, running/walking. You can check out a scooter at an entrance, drop it off at your destination. that way you never have to bring it with you, the entrances would have them on hand. or you can just run/walk if you want and it would be out of the cold/hot/rain/snow/sun, etc...",,22
280,,33333615,"Along any road, there can be a big truck that bicyclists, skateboarders, roller bladers, etc can hold on to to they can get a break and a boost in speed.  Whenever they need to get off, they just let go and get to their destination under their own power. There can be loading areas where the truck slows down to let people on. There can be signs and road markings to signify this.",,22
1203,,33334773,The second new type of teleportation that I can think of is a flying car. It would either have wings or a hover pad on it. It would be able to go to landing zones and be able to go to places faster than what is normally possible.,,22
110,,33333448,"A moving sidewalk - like the ones you would see in an airport to help expedite movement between terminals.  Around my area there are a lot of close shops, so people could walk, but getting loads of bags home would be difficult.  Having mechanical walkways would enable people to do their shopping but reduce their need to use cars, and at the same time set all their bags down so they don't have to figure out how to lug them home, especially if they've purchased something heavy.  It could also allow people to get where they need to go faster, if they continue to walk along the moving sidewalk.  They could sit alongside regular sidewalks, so people who still wanted to go out for a walk and get some fresh air could do so.  The mechanical/moving sidewalks would be made out of metal, look like a flat escalator, have hand railings, and each side of the road would have a sidewalk that goes the same way as traffic.",,22
785,,33334121,"I'd use apps and social media so I know the times of all transport.  If it's late, I don't want to hang out too long. An app would pick up my location and show the times of the buses or street car. I could set it to warn me too.",,22
790,,33334126,"If we could all just travel through human sized and safe pods that take us from place to place like the banks vacuum system that would probably be the fastest, safest way.",,22
1141,,33334461,"Snowmobile taxi service kind of like uber. We're supposed to get a foot of snow in a week and I really don't want to have to deal with driving in it, worrying about getting stuck. We should have a fleet of snowmobile drivers to help get people to and from work. Cut down on accidents and stress.",,22
