,S. No. ,Entry
,108,"Space News (4/11, Ferster, Subscription Publication) reports, “Japan, which just committed more than $500 million to expand a satellite system to enhance GPS signals over its territory, is eyeing a new constellation of spacecraft for regional maritime surveillance, according to” Tomotaka Inoue, deputy counselor in Japan’s Cabinet-level Office of National Space Policy. Developed with the Association of Southeast Asian Nations (ASEAN), the ASEAN Disaster Monitoring Constellation “is still in the discussion phase, Inoue said” while at the National Space Symposium. Meanwhile, during an official address, Inoue “outlined a number of priority investment areas for Japan’s $3 billion-per-year space program: positioning, navigation and timing; remote sensing, including military reconnaissance and weather; communications; and launch vehicles.” He also, according to the article, stressed cooperating with the US in several areas like the Information Gathering Satellite program, the Quasi-Zenith Satellite System (QZSS), and space situational awareness among others."
,109,"ABC Radio Australia (4/9, Herrick) reports Australia has launched its first space policy “funded by a $40 million Federal Government investment to support space-related research, education and innovation activities.” Minister Assisting for Industry and Innovation Kate Lundy said the policy focuses on satellite technology with no plans to launch astronauts “any time soon.” According to the article, “one development to benefit from the funding, is the Australian plasma thruster — an engine that can use almost anything as a fuel in the vacuum of space.” Meanwhile, a “central space research office” is expected to be established later this year."
,110,"Space News (4/4, De Selding, Subscription Publication) reports, “Mitsubishi Electric Co. (Melco) of Tokyo will lead a team to complete Japan’s Quasi-Zenith Satellite System (QZSS) to enhance the precision of the US GPS positioning, navigation and timing satellites over the Pacific Ocean region under a contract valued at $539.4 million, the Cabinet Office of the Japanese prime minister announced.” The QZSS is expect to be completed in 2017 after it “slowed...as it became clear that Japan’s private sector was unwilling to manage QZSS as a business without substantial government guarantees.” Meanwhile, “a separate contract, valued at 117.3 billion yen, will be signed with a special-purpose company led by NEC Corp. to operate the system, which combined with the lone QZSS satellite already in orbit will comprise four satellites.”"
,111,"Space News (4/4, De Selding, Subscription Publication) reports, “Mitsubishi Electric Co. (Melco) of Tokyo will lead a team to complete Japan’s Quasi-Zenith Satellite System (QZSS) to enhance the precision of the US GPS positioning, navigation and timing satellites over the Pacific Ocean region under a contract valued at $539.4 million, the Cabinet Office of the Japanese prime minister announced.” The QZSS is expect to be completed in 2017 after it “slowed...as it became clear that Japan’s private sector was unwilling to manage QZSS as a business without substantial government guarantees.” Meanwhile, “a separate contract, valued at 117.3 billion yen, will be signed with a special-purpose company led by NEC Corp. to operate the system, which combined with the lone QZSS satellite already in orbit will comprise four satellites.”"
,112,"Space News (3/29, Gruss, Subscription Publication) reports, “Space Systems/Loral of Palo Alto, Calif. will study options for a low-cost U.S. military weather satellite replacement system under a six-month, $1 million contract with the U.S. Air Force, the company announced.” The study will focus on placing “advanced meteorological sensors” on commercial satellites and “will examine a commercial approach to gathering weather data from satellites operating in a highly inclined, or polar, elliptical orbit.”"
,113,"The Huntsville (AL) Times (3/28, Gore) “Business” blog reports Quantum Research International “has been awarded a $19 million U.S. Army Space and Missile Defense Command development contract for the Soldier-Warfighter Operationally Responsive Deployer for Space, or SWORDS.” The project aims to “develop a low cost, responsive and robust space launch system for the Army that will quickly launch and deploy nanosatellites.” The article notes that the company will be collaborating with NASA “to provide additional analysis, testing and support for the SWORDS program.”"
,114,"USA Today (2/17, Weise, Vergano) reports, “Efforts to better identify those threats are underway, including a new space telescope from a Silicon Valley foundation, and a coordinated telescope system in Hawaii.” The piece notes that if the B612 Foundation “is able to raise $450 million, the scientists plan to launch a meteor-mapping satellite in 2017 or 2018. ... Meanwhile, a team at the University of Hawaii is working on ATLAS: The Asteroid Terrestrial-Impact Last Alert System, with the aid of a $5 million grant from NASA. Using eight small telescopes, the asteroid detection system would scan the sky twice a night looking for objects moving through space.” FOX News (2/16) and Global Post(2/19, Besant) also report on ATLAS."
,115,"USA Today (2/17, Weise, Vergano) reports, “Efforts to better identify those threats are underway, including a new space telescope from a Silicon Valley foundation, and a coordinated telescope system in Hawaii.” The piece notes that if the B612 Foundation “is able to raise $450 million, the scientists plan to launch a meteor-mapping satellite in 2017 or 2018. ... Meanwhile, a team at the University of Hawaii is working on ATLAS: The Asteroid Terrestrial-Impact Last Alert System, with the aid of a $5 million grant from NASA. Using eight small telescopes, the asteroid detection system would scan the sky twice a night looking for objects moving through space.” FOX News (2/16) and Global Post(2/19, Besant) also report on ATLAS."
,116,"Space News(2/15, Berger, Subscription Publication) reports according to a letter written by NASA Administrator Charles Bolden and sent to the Senate Appropriations Committee, “NASA intends to deny its commercial crew program a long-sought budget increase, cancel or delay several space technology projects, postpone some small satellite launches and reduce research grants to deal with a nearly $900 million budget reduction that will take effect March 1 unless Congress heads off automatic spending cuts known as sequestration.” Bolden wrote, “NASA estimates that a March 1 sequester ...would reduce the total NASA funding level to $16.984.7 million in direct discretionary funding, or $726.7 million less than the President’s FY 2013 budget request, and $894.1 million less than the annualized levels in the current FY2012 Continuing Appropriations Resolution.”"
,117,"Space News (2/2, De Selding, Subscription Publication) reported, ""The European Space Agency (ESA) has approved $190 million in new contracts related to work on the current and future Ariane heavy-lift rockets and upgrades to the Vega small-satellite launch vehicle as part of more than $700 million in contract authorizations, ESA officials said."" ESA Director-General Jean-Jacques Dordain ""said he would push for quick action on translating the launcher programs into industrial contracts because this work will be used by ESA governments in mid-2014 to make follow-on decisions, particularly whether to begin full-scale development of the next-generation Ariane 6 rocket."""
,118,"Space News (2/2, De Selding, Subscription Publication) reported, ""The European Space Agency (ESA) has approved $190 million in new contracts related to work on the current and future Ariane heavy-lift rockets and upgrades to the Vega small-satellite launch vehicle as part of more than $700 million in contract authorizations, ESA officials said."" ESA Director-General Jean-Jacques Dordain ""said he would push for quick action on translating the launcher programs into industrial contracts because this work will be used by ESA governments in mid-2014 to make follow-on decisions, particularly whether to begin full-scale development of the next-generation Ariane 6 rocket."""
,119,"Space News (1/24, Gruss, Subscription Publication) reports, ""The U.S. Air Force awarded Boeing, ITT Exelis and the U.S. arm of Surrey Satellite Technology Ltd. $3.8 million in research contracts late last year in an effort to bolster the current GPS navigation constellation."" The contract tasks the companies to examine how to use small satellites to ""improve the accuracy, coverage and efficiency of GPS."" At a recent Defense Writers Group breakfast, Gen. William L. Shelton, commander of Air Force Space Command, said while the current system is healthy, ""we ve done about all we can do - in fact we ve done more than we re supposed to do in terms of numbers of satellites"" so turning to smaller, cheaper satellites now is ""important."""
,120,"The Los Angeles Times (1/22, Shyong) ""Money & Co."" blog reported Deep Space Industries (DSI) announced it is ""raising $20 million to fund the first stage of a mission to identify asteroids close to Earth and mine them for valuable materials."" In 2015, the group wants to launch satellites called ""Fireflies"" to identify targets followed a year later by ""Dragonflies"" to return samples. It ""plans to pay satellite companies to allow its 55-£ Fireflies to ride piggyback on existing launches of commercial satellites at a cost of about $1 million per launch,"" then selling data and sponsorship rights to other countries. The article notes the company also ""has a patent pending on a 3-D-printing process that can create high-strength metal objects from schematics in zero-gravity conditions."""
,121,"The Los Angeles Times (1/22, Shyong) ""Money & Co."" blog reported Deep Space Industries (DSI) announced it is ""raising $20 million to fund the first stage of a mission to identify asteroids close to Earth and mine them for valuable materials."" In 2015, the group wants to launch satellites called ""Fireflies"" to identify targets followed a year later by ""Dragonflies"" to return samples. It ""plans to pay satellite companies to allow its 55-£ Fireflies to ride piggyback on existing launches of commercial satellites at a cost of about $1 million per launch,"" then selling data and sponsorship rights to other countries. The article notes the company also ""has a patent pending on a 3-D-printing process that can create high-strength metal objects from schematics in zero-gravity conditions."""
,122,"The Christian Science Monitor (1/23, Spotts) reports at the launch event, company chairman Rick Tumlinson ""drew an analogy between NASA s human-spaceflight program and the Lewis and Clark Expedition under Thomas Jefferson, which was followed by a westward flow of settlers."" Asteroid prospectors, according to the article, are expected to early on make money by harvesting fuel for satellites as ""each month of additional service is worth another $5 million to $8 million to a communications-satellite operator, notes David Gump, DSI s chief executive officer."""
,123,"The Vancouver (CAN) Sun (1/11, O Neil) reports the Canadian government ""gave Richmond-based MacDonald Dettwiler and Associates (MDA) a major boost Wednesday, announcing it would put up $706 million to fund the final phase of a major satellite project,"" the RADARSAT Constellation. The funds will allow the final three satellites to be finished, ""the launch of the satellites planned in 2018 and the first year of operation of the satellite system."" Previously, former MDA president John MacDonald said that if the satellite system, which will monitor Canadian territory from space, was not funded, ""the US and perhaps others will move quickly to launch Arctic surveillance satellites rather than piggyback on the RCM project."
,124,"Space News (1/3, De Selding, Subscription Publication) reports, ""The French space agency, CNES, team designing the future Ariane 6 rocket has set what it calls a  triple-seven  goal for the vehicle expected to replace the current heavy-lift Ariane 5 early in the next decade: seven years of development, seven metric tons of satellite payload to geostationary transfer orbit, and a price of 70 million euros ($91 million) for satellite launch customers."" Under this plan, the rocket would have its first demonstration flight in 2021 with a price tag that that would make it ""competitive"" with rivals like SpaceX. The article notes CNES officials ""say economic criteria account for 43 percent of the design decisions made for the rocket, with technical criteria accounting for just 30 percent."" However, ""all bets are off,"" according to the article, when it comes to predicting to what other countries other than France will contribute to the rocke"
,125,"The Washington Business Journal (12/20, Subscription Publication) ""Fedbiz Daily"" blog reports, ""Raytheon Co. was awarded a $1.5 million contract by the Defense Advanced Research Projects Agency to handle the initial phase of the Space Enabled Effects for Military Engagements program, Defense Systems reported."" Over the next nine months, the company will ""complete...a design for small satellites to enhance situational awareness in the battlespace."""
,126,"Space News (12/20, De Selding, Subscription Publication) reports, ""The June failure of an Intelsat telecommunications satellite to deploy one of its solar arrays correctly, which resulted in an $84 million insurance claim, was caused by a defect in the Space Systems/Loral-built satellite and not by any issue with the Sea Launch rocket that placed it into orbit, the companies announced."" The ""exact cause"" was not outlined except that the ""damage was done during the rocket s ascent, before the satellite separated from the Sea Launch vehicle."" John Wormington, who led the independent investigation board, praised Sea Launch and Space Systems/Loral (SS/L) for their cooperation, adding, ""We have very high confidence in the conclusion."""
,127,"Aviation Week(11/13) reports, ""A $90 million NASA instrument mounted on a commercial communications satellite in geostationary orbit will monitor air pollutants over North America beginning in 2017, the first step toward what researchers hope will be a global network of pollution monitors in space. ... NASA will spend as much as $90 million for the Tempo instrument, plus the cost of integration into the host satellite and a share of the launch. The agency expects there will be  numerous  satellites launched in 2017 that will be suitable for the mission."""
,128,"The Moscow Times (11/8) reports city police ""have raided a fly-by-night firm used to steal more than $18 million in state funds intended to develop the Glonass satellite navigation system. Police said in a statement on their website that they raided the firm after finding one of its stamps in the office of a director at Russian Space Systems, a public corporation that operates Glonass, sometimes called Russia s answer to the US Global Positioning System, or GPS."""
,129,"Space News(9/12, Leone, Subscription Publication) reports, ""The stopgap spending measure the US Congress has vowed to pass to keep the federal government running through late March gives the National Oceanic and Atmospheric Administration (NOAA) budgetary leeway to keep two crucial civilian weather satellites,"" the Joint Polar Satellite System (JPSS) and the Geostationary Operational Environmental Satellite (GOES) system, ""on track for launch."" However, the article notes that if NOAA fully funds the systems with the money in the continuing resolution, NOAA ""would have just over $100 million left to spend on well over $200 million worth of other procurement and construction needs."" The article briefly notes the Goddard Space Flight Center manages procurement for both these programs."
,130,"Spaceflight Now (8/29, Clark) reports, ""NASA is studying the placement of an instrument on a commercial or US government communications satellite to detect and track asteroids near Earth for potential human visits."" It has just issued a request for information for the project, asking those interested to ""offer instrument solutions ready for launch as soon as 2016, costing less than $50 million, and capable of operating for at least five years."" Information is due next month."
,131,"In an article for New Scientist (8/27) magazine, Maggie McKee wrote about how CubeSats are becoming the ""future of spaceflight"" despite their initial ""lukewarm"" reception when they debuted. While ""less ambitious"" than NASA flagship missions because of their size and cost, Mason Peck, Mason Peck, NASA chief technologist, noted there is a role for them because they can do ""new kinds of science."" As one of the efforts to push the field forward, ""NASA announced that it is sponsoring a $3 million prize, called the Nano-Satellite Launch Challenge, to develop dedicated systems capable of sending a small satellite beyond the grip of Earth s gravity at least twice in one week using two different launchers."" The United Launch Alliance is also working on a way launch CubeSats deeper into the space. McKee notes deep space missions for CubeSats will be ""extremely difficult,"" but both they and larger missions will have their place in space."
,132,"The AP (7/12) reports at Wednesday s Farnborough Airshow, ""British mogul Richard Branson says he and his two children Holly and Sam will be on the first space flight of his Virgin Galactic venture next year."" At the announcement were ""120 other tourists - so-called future astronauts - who have signed up to make the $200,000 two-hour trip into space. Virgin says 529 deposits from potential passengers have been placed for the journey."" The article notes he also announced plans to launch small satellites ""at a tenth of the current cost."""
,133,"The Orlando Sentinel (7/10, Matthews) reports the ""banished"" Deep Space Climate Observatory could be launched into space in 2014 after spending years in a warehouse. After conceived by then Vice President Gore, ""NASA spent about $100 million on the satellite - only to see its launch delayed and ultimately canceled after Republican leaders in Congress raised questions about its cost and scientific worth."" Now, the satellite would be repurposed to study space weather after testing ""showed the probe could handle its new assignment."" While NASA documents state it could launch in 2014 after being refurbished, ""supporters won t breathe easy until the Deep Space Climate Observatory rises from a launchpad."""
,134,"Doug Messier at Parabolic Arc (7/2) wrote, ""DARPA has awarded six contracts for its Airborne Launch Assist Space Access (ALASA) program, which is designed to produce a rocket capable of launching a 100-£ satellite into low Earth orbit for less than $1 million. Winners include Virgin Galactic, Lockheed Martin, Boeing and Northrup Grumman."""
,135,"Space News (6/29, de Selding, Subscription Publication) reports, ""Europe s Metop-B polar-orbiting meteorological satellite will be launched Sept. 19 aboard a Russian Soyuz rocket operating from the Baikonur Cosmodrome in Kazakhstan following the resolution of a dispute between the Russian and Kazakh governments over rocket-segment drop zones, Europe s Arianespace launch consortium said June 28."" The article notes that despite the news of a deal, ""it is unclear if Russia made any cash payments to permit launches to resume - Russia pays $115 million per year to Kazakhstan for the use of the sprawling Baikonur complex - or if polar flight paths were modified."""
,136,"Space(6/26, Coppinger) reported Virgin Galactic founder Richard Branson ""is expected to announce Virgin Galactic Cargo, a renewed effort to launch small satellites commercially, and reveal design changes to his tourism spacecraft SpaceShipTwo (SS2) at the UK s Farnborough International Airshow next month."" The project was first announced in 20009, but ""went into a hiatus"" in 2010. Virgin Galactic s commercial director Stephen Attenborough revealed the upcoming announcement at a recent conference. The article noted ""NASA previously agreed to pay Virgin Galactic for three chartered microgravity research flights with a contract worth up to $4.5 million. At the Royal Aeronautical Society event Attenborough referred to such flights as being part of the brand  Virgin Galactic Science Services. "" Meanwhile, Attenborough did not confirm what the possible changes to SpaceShipTwo or whether they were due to a stall event during last year s glide flight."
,137,"Aerospace Daily & Defense Report (6/26, Svitak) reported, ""Globalstar says it has buried the hatchet with spacecraft manufacturer Thales Alenia Space concerning prior legal disputes, and the companies have agreed to the terms of a commercial proposal for the purchase of additional Globalstar satellites."" This ""ensures"" Thales will deliver the remaining six satellites for Globalstar s second-generation satellite constellation. Furthermore, ""the companies agreed to the terms of a new contract to purchase six additional second-generation satellites to be built by Thales."" However, the article notes the agreement ""did not address whether cash-strapped Globalstar is still obliged to immediately pay Thales Alenia Space roughly $65 million in contract termination fees as directed by the American Arbitration Association in May."
,138,"The AP (6/20) reports, ""The University of Michigan has been selected to lead a $152 million NASA satellite project aimed at improving hurricane and extreme weather prediction."" The Cyclone Global Navigation Satellite System (CYGNSS) will involve several small satellites ""to make accurate measurements of ocean surface winds throughout the life cycle of tropical storms and hurricanes."""
,139,"The InnovationNewsDaily (6/15, Hsu) continues coverage of the Sample Return Challenge taking place this weekend at the Worcester Polytechnic Institute that could award up to $1.5 million for a robotic design that can retrieve samples by themselves ""without human guidance or GPS navigation to simulate the challenges of exploring other planets."" Mason Peck, NASA s chief technologist, said, ""Rovers that might have to do this someday on Mars or another planet don t have the luxury of operating with human guidance. ... Being able to autonomously grab a rock sample has never been done on a mission."" The article notes NASA is also running ""the $1.5 million Night Rover Challenge"" which ""aims to make better batteries that can help lunar rovers survive the two-week night cycles of darkness on the moon,"" and the ""$2 million Nano-Satellite Launch Challenge"" which ""looks to boost space access by asking competitors to launch a tiny satellite into orbit at least two times in one week."""
,140,"The InnovationNewsDaily (6/15, Hsu) continues coverage of the Sample Return Challenge taking place this weekend at the Worcester Polytechnic Institute that could award up to $1.5 million for a robotic design that can retrieve samples by themselves ""without human guidance or GPS navigation to simulate the challenges of exploring other planets."" Mason Peck, NASA s chief technologist, said, ""Rovers that might have to do this someday on Mars or another planet don t have the luxury of operating with human guidance. ... Being able to autonomously grab a rock sample has never been done on a mission."" The article notes NASA is also running ""the $1.5 million Night Rover Challenge"" which ""aims to make better batteries that can help lunar rovers survive the two-week night cycles of darkness on the moon,"" and the ""$2 million Nano-Satellite Launch Challenge"" which ""looks to boost space access by asking competitors to launch a tiny satellite into orbit at least two times in one week."""
,141,"Space News (6/12, de Selding, Subscription Publication) reports, ""Europe s Arianespace launch consortium on June 11 said it will launch the EchoStar 17 consumer broadband satellite on July 5, a decision that suggests satellite owner EchoStar and Hughes Network Systems - and their insurance underwriters - are confident their $300 million-plus investment is not at risk of the solar array deployment failure"" that plagued the recent Sea Launch launch of the SS/L-built Intelsat 19 (IS-19) satellite launched last month. The article notes that until Sea Launch finishes its own investigation into the issue, ""it will be up to each satellite owner and its insurance underwriters to determine whether the IS-19 failure is a Sea Launch issue, an SS/L issue or the result of some unusual reaction between the vehicle and the SS/L satellite design."""
,142,"Space News (6/9, Ledbetter, Subscription Publication) reported, ""A US Senate defense oversight panel recommended allocating $60 million next year to develop a low-cost weather satellite under the auspices of an office that the Pentagon has marked for closure,"" the Operationally Responsive Space (ORS) office. It ""recommended that funding for the quick-reaction weather satellite be taken from the $123.5 million appropriated in 2012 for a follow-on weather satellite system,"" however, the panel members ""deferred to their colleagues on the House and Senate appropriations committees to determine the precise allocation of the funds currently budgeted for the follow-on weather satellite system."" The article noted that one of the other rulings by the panel was for the ORS to report to the Space and Missile Systems Center, commander."
,143,"Space News (6/9, Ledbetter, Subscription Publication) reported, ""A US Senate defense oversight panel recommended allocating $60 million next year to develop a low-cost weather satellite under the auspices of an office that the Pentagon has marked for closure,"" the Operationally Responsive Space (ORS) office. It ""recommended that funding for the quick-reaction weather satellite be taken from the $123.5 million appropriated in 2012 for a follow-on weather satellite system,"" however, the panel members ""deferred to their colleagues on the House and Senate appropriations committees to determine the precise allocation of the funds currently budgeted for the follow-on weather satellite system."" The article noted that one of the other rulings by the panel was for the ORS to report to the Space and Missile Systems Center, commander."
,144,"Lorenzo Franceschi-Bicchierai at the Wired (6/7) ""Danger Room"" blog writes because of the threat of cuts in government contracts over the past few months, there have been talks of a merger between GeoEye and DigitalGlobe, the two companies that provide the US government most of its satellite images. However, ""according to an industry official familiar with the negotiations, the chances of the two companies combining are growing slim, in large part because key congressional panels won t allow the satellite budget to get cut."" According to Franceschi-Bicchierai, the possible cuts had the industry in ""turmoil."" But because the Senate Armed Services Committee has reinstated $125 million to the EnhancedView program, ""it seems like GeoEye and DigitalGlobe may be back to business as usual."" Franceschi-Bicchierai also notes that this development comes as both companies are planning to launch satellites with higher resolution."
,145,"NextGov(5/31, Lim) reports Lockheed Martin ""was awarded a $6.2 million contract with the Defense Advanced Research Projects Agency to develop a launch system that would cut the cost of sending small satellites into orbit by at least a third of traditional price points, procurement documents show."" According to the article, this award ""is one of multiple contracts to be inked as part of a $164 million research and development plan, called Airborne Launch Assist Space Access, which seeks to drastically reduce the cost of satellite launches and cut preparation time for sending smaller payloads into orbit to within 24 hours of a request."""
,146,"Space News(5/24, de Selding, Subscription Publication) reports that while SES ""has more consumer satellite broadband subscribers than anyone else in Europe and is investing in Ka-band broadband capacity on four"" new satellites, the company ""still believes satellite-delivered consumer broadband in Europe is a fool s errand."" SES Chief Executive Romain Bausch said that ""SES will have invested no more than around 50 million euros"" in the service, adding ""We do not believe [consumer satellite broadband] is a sustainable business over the life of the satellite."""
,147,"Devin Coldewey at the msnbc (5/12) ""Cosmic Log"" blog wrote on June 16, ""autonomous rovers will face off in NASA s $1.5 million Sample Return Robot Challenge at Worcester Polytechnic Institute in Massachusetts."" The competition asks teams to develop a robot that can navigate and obtain objects without using a system like GPS or the Internet. However, ""as would likely be the case on a real planetary mission, NASA is providing satellite imagery of the area, compete with topographic information and points of interest."" Coldewey added, ""Such research is readily adaptable to terrestrial applications such as disaster response and automated industry."""
,148,"The Huntsville (AL) Times (4/18, Roop) ""Space News"" blog reports, ""NASA s Space Launch System heavy lift rocket development program would get $1.48 billion for fiscal year 2013 under a budget proposal released today by Sen. Kay Bailey Hutchison, R-Texas, the ranking minority party member of the appropriations subcommittee with NASA funding responsibility."" The Orion capsule would be funded as well at $1.2 billion. The article notes that a ""joint budget proposal"" between Hutchinson and Sen. Barbara Mikulski also ""removes funding and responsibility for procuring the National Oceanic and Atmospheric Administration s next generation of weather satellites from NOAA to NASA."" Commercial space programs would also gain more funding over this year s budget but not as much as the Administration wants."
,149,"Space News (2/14, Ledbetter, Subscription Publication) reports, ""Funding for unclassified US military space programs and activity would decline by 22 percent, to $8 billion, under the 2013 Pentagon spending request released by the White House Feb. 13."" This was from ""reduced procurement plans for satellites and launch vehicles, along with the cancellation of the Defense Weather Satellite System (DWSS), which was done at the behest of Congress."" The article notes another Space-Based Space Surveillance satellite was also not included in the budget. As for the Evolved Expendable Launch Vehicle program, funding ""covers the procurement of four new rockets and associated services and activities but does not include launches to be procured on behalf of the US Navy or National Reconnaissance Office, budget documents said."""
,150,"Space News (2/3, de Selding, Subscription Publication) reports, ""The two companies providing commercial satellite imagery to the US government under a 10-year program are facing a combined $50 million in lost revenue this year and more-substantial reductions in 2013 as Congress and the White House look for further budget cuts, industry officials said."" The National Geospatial-Intelligence Agency (NGA) is reducing EnhancedView funding although it has not specified how these cuts will be made. Because the program is structured as a one year contract with nine one-year extensions, ""how deep the EnhancedView cuts will be in the coming years remains a topic of intense speculation."""
,151,"South Korea s Donga-A Ilbo(1/26) reports the Lunar Impactor project, which aims to explain how water or ice was created on the moon, ""started early last year at the suggestion of NASA, which has shown interest in Korea s satellite technology."" Korea Aerospace Research Institute was originally hesitant about the project, but now the country sees it as an opportunity to gain lunar exploration experience from the US. According to NASA, the project ""will cost a combined 50 million US dollars including for the production of the research spacecraft CubeSat and another spacecraft to carry the former to the moon. Given that NASA spent 78 million dollars on the LCROSS project, which sent a massive 2.4-ton impactor to the moon in 2009, the Lunar Impactor project is expected to produce important results with a relatively small budget."""
,152,"South Korea s Donga-A Ilbo(1/26) reports the Lunar Impactor project, which aims to explain how water or ice was created on the moon, ""started early last year at the suggestion of NASA, which has shown interest in Korea s satellite technology."" Korea Aerospace Research Institute was originally hesitant about the project, but now the country sees it as an opportunity to gain lunar exploration experience from the US. According to NASA, the project ""will cost a combined 50 million US dollars including for the production of the research spacecraft CubeSat and another spacecraft to carry the former to the moon. Given that NASA spent 78 million dollars on the LCROSS project, which sent a massive 2.4-ton impactor to the moon in 2009, the Lunar Impactor project is expected to produce important results with a relatively small budget."""
,153,"Space News (1/24, de Selding, Subscription Publication) reports, ""Europe s Vega small-satellite launcher, whose inaugural flight is scheduled for mid-February, will be sold commercially for about 32 million euros ($42 million) per launch - a price that can compete with converted Russian ballistic missiles, Vega officials said."" Furthermore, they ""said the rocket s competitive position is even better than it was at the start of development."" The article details the development of the rocket and how initially there were concerns that the cost may not be competitive enough. However, ""other vehicles that at one point might have competed directly with Vega,"" such as SpaceX s Falcon 1 and Ukraine s Cyclone rocket, ""have been sidelined by their owners, or hampered by development issues or launch delays."""
,154,"Florida Today(1/19, Dean) reports the Air Force confirmed Wednesday that it has ordered Boeing to begin work on a ninth Wideband Global SATCOM satellite, ""expected to cost $377 million. It will be purchased under a recently-announced international partnership with Canada, Denmark, Luxembourg, the Netherlands and New Zealand."""
,155,"The Los Angeles Daily Breeze (1/19) says the contract ""comes less than a month after the Air Force authorized Boeing to build the eighth"" WGS satellite. Together, the contracts ""are worth $673 million, Boeing said Wednesday. WGS-8 and WGS-9 are part of a $1.09 billion contract modification the Air Force announced in September."""
,156,"Canada s CBC News (1/18, Payton) reports, ""Canada is joining the US and Australia in a 10-satellite project to provide secure communications for the Canadian Forces, Defence Minister Peter MacKay said Tuesday."" A memorandum of understanding on the agreement was expected to be signed as well. As part of the announcement, Associate Minister of Defense Julian Fantino ""said Boeing, the company that builds the satellites, is obliged to return $240 million in industrial regional benefits to Canada, meaning Boeing will invest $240 million in the Canadian economy."""
,157,"Space News (1/18, de Selding, Subscription Publication) reports, ""The Russian government, which in late 2011 succeeded in returning its Glonass positioning, navigation and timing satellite constellation to fully operational status, plans to launch three more Glonass satellites in the first half of 2012 and to spend some 20.5 billion roubles ($642 million) on the program this year, the Russian space agency, Roscosmos, announced Jan. 17."" The article notes that along with plans to launch more satellites, Russia also has been ""investing in its SDCM Glonass-augmentation capability, whose design is similar to the US Wide-Area Augmentation System, Europe s Egnos and Japan s MSAS."""
,158,"Information Week (1/5, Montalbano, 440K) reports, ""The Department of Defense (DOD) wants to create a new satellite and robotic system to repurpose $300 billion worth of retired satellites that are currently sitting in geostationary orbit (GEO) over the earth."" With ""its Phoenix program, the Defense Advanced Research Projects Agency (DARPA) will award $36 million to contractors to help it reuse some of the more than 1,300 satellites in GEO to create a new communications system for military personnel, according to a broad agency announcement posted on FedBizOpps.gov."" GEO satellites ""makes them prime targets for reuse because"" they ""have large radio frequency apertures that can cover large areas of the earth s surface, according to the announcement."""
,159,"Information Week (1/5, Montalbano, 440K) reports, ""The Department of Defense (DOD) wants to create a new satellite and robotic system to repurpose $300 billion worth of retired satellites that are currently sitting in geostationary orbit (GEO) over the earth."" With ""its Phoenix program, the Defense Advanced Research Projects Agency (DARPA) will award $36 million to contractors to help it reuse some of the more than 1,300 satellites in GEO to create a new communications system for military personnel, according to a broad agency announcement posted on FedBizOpps.gov."" GEO satellites ""makes them prime targets for reuse because"" they ""have large radio frequency apertures that can cover large areas of the earth s surface, according to the announcement."""
,160,"Space News (12/17, Bernstein, Subscription Publication) reported, ""The US House of Representatives passed a finalized 2012 spending bill Dec. 16 that provides $125 million for a  follow-on  military weather satellite system while adding $326 million to the Pentagon s $468.7 million request for its primary satellite communications system."" At the time of the publication, the Senate had yet to pass the bill. According to the article, the Defense Weather Satellite System (DWSS) is ""in jeopardy"" with the funding, because it only gives half the money the Senate recommended when in September ""appropriators recommended terminating DWSS and holding a new competition for weather satellites, providing $150 million and $250 million for those purposes, respectively."" Meanwhile, the added money for the Wideband Global Satcom communications system ""will go toward the ninth satellite in the series."""
,161,"Space News (12/1, de Selding, Subscription Publication) reports, ""Canada s Department of National Defence is awaiting a Dec. 15 deadline for five nations to join the US-led Wideband Global Satcom (WGS) X- and Ka-band military communications system before committing more than $450 million to the project over a decade or so, a Canadian defense official said."" While Australia would purchase their own satellite, Canada would join Denmark, Luxembourg, the Netherlands, and New Zealand to purchase a WGS, but Canada will not commit until the others sign a memorandum of understanding. At a recent talk, Lt. Col. Abde Bellahnid, the Canadian Defence Department s director of space requirements, ""declined to discuss details of the WGS agreement but said it would give the new partners immediate access to the WGS network."""
,162,"Florida Today(11/2, Dean) reports, ""Space Florida will manage a $2 million competition intended to advance technologies and markets for tiny satellites, NASA announced Tuesday."" In order to claim the prize, Nano-Satellite Launch Challenge participants ""must launch a satellite weighing at least 2.2 £s into Earth orbit twice within a week."" The first attempt could come next summer. According to the article, ""a new nonprofit called the Space Florida Small Satellite Research Center will be set up to manage the competition, one of 22 Centennial Challenges funded by NASA since 2005."""
,163,"Florida Today (10/15, Meyer) reported, ""A University of Central Florida physicist and his team of space weather researchers are hoping to win a major NASA prize - a chance to launch their experiment into space."" The team wants to place a sensor on a commercial satellite as part of the Global-Scale Observations of the Limb and Disk (GOLD). NASA presented the team ""a $250,000 grant to develop a concept study as they work toward the $55 million award through NASA s Explorer Mission of Opportunity program."" Four other projects were also selected for concept studies. Team member Andry Krywonos noted this is not the first time GOLD has gotten a grant from NASA. Fellow team member Richard Eastes added, ""NASA looks very hard at the projects and tries to figure what will give the best scientific knowledge for the $55 million."""
